,week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
64,2020-03-29,Super Bowl 2024,Oscar nominations 2024,Powerball,"Perry, Iowa",Kansas City Chiefs,Dallas Cowboys,NFL Games Today,Jason Kelce retire,Adam Harrison,Ohio State football,Alabama vs Michigan,Jim Harbaugh,Vince McMahon,New Year's Day,Nick Saban retiring,Adan Canto,Lipid,Rickey Smiley,Dexter King,Ecuador,Penn State football,Doc Rivers,Pete Carroll,Super Bowl,NFL playoff picture
65,2020-04-05,Adan Canto,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Ohio State football,Super Bowl 2024,Dallas Cowboys,Powerball,"Perry, Iowa",Adam Harrison,Jim Harbaugh,Nick Saban retiring,Oscar nominations 2024,Vince McMahon,Ecuador,Super Bowl,Doc Rivers,NFL playoff picture,Rickey Smiley,Lipid,Pete Carroll,Dexter King,Penn State football
66,2020-04-12,Oscar nominations 2024,Jason Kelce retire,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Adan Canto,"Perry, Iowa",Jim Harbaugh,Dallas Cowboys,Kansas City Chiefs,Adam Harrison,NFL Games Today,Super Bowl 2024,Powerball,Vince McMahon,New Year's Day,Pete Carroll,Doc Rivers,Super Bowl,NFL playoff picture,Lipid,Penn State football,Ecuador,Rickey Smiley,Dexter King
67,2020-04-19,Dallas Cowboys,Super Bowl 2024,"Perry, Iowa",Adan Canto,Ohio State football,NFL Games Today,Vince McMahon,Alabama vs Michigan,Oscar nominations 2024,Kansas City Chiefs,Powerball,Nick Saban retiring,Jim Harbaugh,New Year's Day,Jason Kelce retire,Adam Harrison,Doc Rivers,Lipid,Pete Carroll,Super Bowl,Penn State football,NFL playoff picture,Ecuador,Dexter King,Rickey Smiley
68,2020-04-26,NFL Games Today,Kansas City Chiefs,"Perry, Iowa",Super Bowl 2024,Vince McMahon,Nick Saban retiring,Jim Harbaugh,Oscar nominations 2024,Adan Canto,Adam Harrison,Powerball,Dallas Cowboys,Jason Kelce retire,New Year's Day,Alabama vs Michigan,Ohio State football,Pete Carroll,Super Bowl,NFL playoff picture,Doc Rivers,Lipid,Penn State football,Rickey Smiley,Ecuador,Dexter King
69,2020-05-03,Dallas Cowboys,Ohio State football,"Perry, Iowa",NFL Games Today,Vince McMahon,New Year's Day,Powerball,Nick Saban retiring,Oscar nominations 2024,Kansas City Chiefs,Super Bowl 2024,Jason Kelce retire,Adam Harrison,Adan Canto,Alabama vs Michigan,Jim Harbaugh,Pete Carroll,Rickey Smiley,Dexter King,Lipid,Penn State football,NFL playoff picture,Super Bowl,Doc Rivers,Ecuador
70,2020-05-10,Alabama vs Michigan,Jim Harbaugh,Vince McMahon,Jason Kelce retire,"Perry, Iowa",Adan Canto,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Oscar nominations 2024,NFL Games Today,Dallas Cowboys,Powerball,Super Bowl 2024,New Year's Day,Adam Harrison,Penn State football,Lipid,NFL playoff picture,Rickey Smiley,Dexter King,Pete Carroll,Super Bowl,Ecuador,Doc Rivers
71,2020-05-17,Powerball,Alabama vs Michigan,Super Bowl 2024,Jim Harbaugh,NFL Games Today,Jason Kelce retire,Kansas City Chiefs,New Year's Day,Ohio State football,Nick Saban retiring,Adan Canto,Adam Harrison,Oscar nominations 2024,Vince McMahon,Dallas Cowboys,"Perry, Iowa",Rickey Smiley,Pete Carroll,Super Bowl,Lipid,Ecuador,NFL playoff picture,Penn State football,Doc Rivers,Dexter King
72,2020-05-24,Alabama vs Michigan,"Perry, Iowa",NFL Games Today,Jim Harbaugh,Nick Saban retiring,Jason Kelce retire,Adan Canto,Dallas Cowboys,Ohio State football,Super Bowl 2024,Kansas City Chiefs,New Year's Day,Oscar nominations 2024,Powerball,Adam Harrison,Vince McMahon,Rickey Smiley,NFL playoff picture,Doc Rivers,Dexter King,Penn State football,Super Bowl,Ecuador,Lipid,Pete Carroll
73,2020-05-31,NFL Games Today,"Perry, Iowa",Adan Canto,New Year's Day,Kansas City Chiefs,Vince McMahon,Powerball,Super Bowl 2024,Jim Harbaugh,Oscar nominations 2024,Jason Kelce retire,Alabama vs Michigan,Ohio State football,Nick Saban retiring,Adam Harrison,Dallas Cowboys,Lipid,Doc Rivers,Rickey Smiley,Super Bowl,Ecuador,Penn State football,Dexter King,Pete Carroll,NFL playoff picture
74,2020-06-07,Super Bowl 2024,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Nick Saban retiring,Ohio State football,Vince McMahon,Powerball,Oscar nominations 2024,Jim Harbaugh,Kansas City Chiefs,Adan Canto,NFL Games Today,Jason Kelce retire,"Perry, Iowa",Adam Harrison,Pete Carroll,Doc Rivers,Rickey Smiley,Penn State football,NFL playoff picture,Lipid,Dexter King,Ecuador,Super Bowl
75,2020-06-14,Dallas Cowboys,Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Ohio State football,Adam Harrison,Jim Harbaugh,New Year's Day,Adan Canto,Nick Saban retiring,Oscar nominations 2024,Powerball,"Perry, Iowa",Vince McMahon,Alabama vs Michigan,Super Bowl 2024,Super Bowl,Lipid,Ecuador,Penn State football,Doc Rivers,Pete Carroll,Dexter King,NFL playoff picture,Rickey Smiley
76,2020-06-21,New Year's Day,Dallas Cowboys,Adan Canto,Nick Saban retiring,Super Bowl 2024,NFL Games Today,Kansas City Chiefs,Ohio State football,Jim Harbaugh,Jason Kelce retire,Powerball,Vince McMahon,Adam Harrison,Alabama vs Michigan,Oscar nominations 2024,"Perry, Iowa",Pete Carroll,Dexter King,Penn State football,Doc Rivers,Rickey Smiley,Ecuador,Super Bowl,Lipid,NFL playoff picture
77,2020-06-28,Alabama vs Michigan,Kansas City Chiefs,Dallas Cowboys,Adan Canto,Jim Harbaugh,Jason Kelce retire,Powerball,Vince McMahon,Oscar nominations 2024,Super Bowl 2024,"Perry, Iowa",Nick Saban retiring,NFL Games Today,New Year's Day,Adam Harrison,Ohio State football,Pete Carroll,NFL playoff picture,Super Bowl,Doc Rivers,Rickey Smiley,Penn State football,Lipid,Dexter King,Ecuador
78,2020-07-05,New Year's Day,Dallas Cowboys,Kansas City Chiefs,Nick Saban retiring,Super Bowl 2024,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Adan Canto,Oscar nominations 2024,Adam Harrison,"Perry, Iowa",Jason Kelce retire,Vince McMahon,Powerball,Ohio State football,Super Bowl,Lipid,Rickey Smiley,NFL playoff picture,Pete Carroll,Ecuador,Penn State football,Dexter King,Doc Rivers
79,2020-07-12,Powerball,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,New Year's Day,Jim Harbaugh,Jason Kelce retire,Vince McMahon,Oscar nominations 2024,"Perry, Iowa",Super Bowl 2024,Dallas Cowboys,NFL Games Today,Adan Canto,Kansas City Chiefs,Ohio State football,Lipid,Penn State football,Super Bowl,Dexter King,Doc Rivers,Ecuador,Rickey Smiley,Pete Carroll,NFL playoff picture
80,2020-07-19,Adam Harrison,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Adan Canto,Jim Harbaugh,"Perry, Iowa",Super Bowl 2024,Ohio State football,Alabama vs Michigan,Powerball,Nick Saban retiring,New Year's Day,Vince McMahon,Dallas Cowboys,Oscar nominations 2024,Pete Carroll,NFL playoff picture,Super Bowl,Ecuador,Rickey Smiley,Penn State football,Dexter King,Doc Rivers,Lipid
81,2020-07-26,Vince McMahon,Powerball,Super Bowl 2024,Dallas Cowboys,Oscar nominations 2024,Ohio State football,"Perry, Iowa",Nick Saban retiring,Adan Canto,Kansas City Chiefs,New Year's Day,Jason Kelce retire,NFL Games Today,Alabama vs Michigan,Adam Harrison,Jim Harbaugh,Rickey Smiley,Pete Carroll,NFL playoff picture,Ecuador,Lipid,Penn State football,Dexter King,Doc Rivers,Super Bowl
82,2020-08-02,Kansas City Chiefs,Vince McMahon,NFL Games Today,Oscar nominations 2024,Super Bowl 2024,Jason Kelce retire,"Perry, Iowa",New Year's Day,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,Powerball,Adan Canto,Ohio State football,Jim Harbaugh,Dallas Cowboys,Rickey Smiley,Dexter King,Doc Rivers,NFL playoff picture,Super Bowl,Penn State football,Lipid,Pete Carroll,Ecuador
83,2020-08-09,Powerball,Jim Harbaugh,Ohio State football,"Perry, Iowa",Super Bowl 2024,New Year's Day,Jason Kelce retire,Oscar nominations 2024,Adam Harrison,Dallas Cowboys,Adan Canto,Vince McMahon,Alabama vs Michigan,Nick Saban retiring,Kansas City Chiefs,NFL Games Today,Rickey Smiley,Lipid,NFL playoff picture,Pete Carroll,Ecuador,Super Bowl,Doc Rivers,Dexter King,Penn State football
84,2020-08-16,New Year's Day,Adam Harrison,Ohio State football,Vince McMahon,Jason Kelce retire,"Perry, Iowa",Kansas City Chiefs,Alabama vs Michigan,Super Bowl 2024,Powerball,Oscar nominations 2024,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,Adan Canto,NFL Games Today,Super Bowl,Dexter King,Penn State football,Lipid,Pete Carroll,Rickey Smiley,Doc Rivers,Ecuador,NFL playoff picture
85,2020-08-23,Vince McMahon,Kansas City Chiefs,Adam Harrison,NFL Games Today,New Year's Day,Dallas Cowboys,"Perry, Iowa",Powerball,Jim Harbaugh,Oscar nominations 2024,Super Bowl 2024,Adan Canto,Jason Kelce retire,Nick Saban retiring,Alabama vs Michigan,Ohio State football,Penn State football,Rickey Smiley,Lipid,NFL playoff picture,Doc Rivers,Super Bowl,Ecuador,Pete Carroll,Dexter King
86,2020-08-30,Ohio State football,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Oscar nominations 2024,New Year's Day,Kansas City Chiefs,Jason Kelce retire,Adam Harrison,"Perry, Iowa",Vince McMahon,Super Bowl 2024,Powerball,Alabama vs Michigan,Jim Harbaugh,Adan Canto,Rickey Smiley,NFL playoff picture,Penn State football,Lipid,Super Bowl,Pete Carroll,Ecuador,Dexter King,Doc Rivers
87,2020-09-06,Dallas Cowboys,Vince McMahon,New Year's Day,Ohio State football,Jason Kelce retire,Nick Saban retiring,Adam Harrison,NFL Games Today,Kansas City Chiefs,Powerball,"Perry, Iowa",Alabama vs Michigan,Jim Harbaugh,Oscar nominations 2024,Adan Canto,Super Bowl 2024,Ecuador,Pete Carroll,Lipid,Super Bowl,NFL playoff picture,Rickey Smiley,Doc Rivers,Dexter King,Penn State football
88,2020-09-13,Kansas City Chiefs,Jason Kelce retire,Alabama vs Michigan,New Year's Day,Powerball,Dallas Cowboys,NFL Games Today,Ohio State football,Jim Harbaugh,Adam Harrison,Oscar nominations 2024,Vince McMahon,Nick Saban retiring,"Perry, Iowa",Adan Canto,Super Bowl 2024,Rickey Smiley,Ecuador,Penn State football,Pete Carroll,Doc Rivers,Super Bowl,NFL playoff picture,Lipid,Dexter King
89,2020-09-20,Ohio State football,New Year's Day,Jason Kelce retire,Vince McMahon,Alabama vs Michigan,Super Bowl 2024,Oscar nominations 2024,Adan Canto,Kansas City Chiefs,NFL Games Today,Adam Harrison,Powerball,Dallas Cowboys,"Perry, Iowa",Jim Harbaugh,Nick Saban retiring,Penn State football,Dexter King,Doc Rivers,Lipid,Super Bowl,Pete Carroll,Rickey Smiley,NFL playoff picture,Ecuador
90,2020-09-27,Ohio State football,Super Bowl 2024,NFL Games Today,Jim Harbaugh,Vince McMahon,Jason Kelce retire,Dallas Cowboys,Alabama vs Michigan,Kansas City Chiefs,Powerball,Adam Harrison,Adan Canto,Oscar nominations 2024,"Perry, Iowa",New Year's Day,Nick Saban retiring,Pete Carroll,Super Bowl,Rickey Smiley,NFL playoff picture,Doc Rivers,Lipid,Ecuador,Penn State football,Dexter King
91,2020-10-04,Vince McMahon,Super Bowl 2024,"Perry, Iowa",Jim Harbaugh,Nick Saban retiring,Oscar nominations 2024,Adan Canto,Powerball,New Year's Day,Ohio State football,Jason Kelce retire,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,NFL Games Today,Dallas Cowboys,NFL playoff picture,Dexter King,Ecuador,Lipid,Rickey Smiley,Pete Carroll,Super Bowl,Doc Rivers,Penn State football
92,2020-10-11,Kansas City Chiefs,Alabama vs Michigan,Dallas Cowboys,Adan Canto,Ohio State football,Nick Saban retiring,Oscar nominations 2024,New Year's Day,Powerball,Super Bowl 2024,Vince McMahon,Adam Harrison,"Perry, Iowa",NFL Games Today,Jason Kelce retire,Jim Harbaugh,Pete Carroll,Super Bowl,Ecuador,Dexter King,Lipid,Rickey Smiley,NFL playoff picture,Doc Rivers,Penn State football
93,2020-10-18,"Perry, Iowa",Super Bowl 2024,Ohio State football,Alabama vs Michigan,Adan Canto,Vince McMahon,Nick Saban retiring,Kansas City Chiefs,Oscar nominations 2024,Jim Harbaugh,Jason Kelce retire,New Year's Day,Dallas Cowboys,Powerball,Adam Harrison,NFL Games Today,Rickey Smiley,Pete Carroll,Penn State football,NFL playoff picture,Lipid,Super Bowl,Dexter King,Ecuador,Doc Rivers
94,2020-10-25,Vince McMahon,Nick Saban retiring,Jim Harbaugh,Super Bowl 2024,Ohio State football,Alabama vs Michigan,Dallas Cowboys,Kansas City Chiefs,New Year's Day,Adan Canto,Powerball,Adam Harrison,Oscar nominations 2024,NFL Games Today,Jason Kelce retire,"Perry, Iowa",Lipid,Rickey Smiley,NFL playoff picture,Super Bowl,Dexter King,Ecuador,Penn State football,Pete Carroll,Doc Rivers
95,2020-11-01,Super Bowl 2024,Alabama vs Michigan,Kansas City Chiefs,Ohio State football,Vince McMahon,Adan Canto,Jason Kelce retire,"Perry, Iowa",Powerball,Nick Saban retiring,NFL Games Today,Oscar nominations 2024,Jim Harbaugh,Dallas Cowboys,Adam Harrison,New Year's Day,Doc Rivers,Super Bowl,NFL playoff picture,Rickey Smiley,Ecuador,Penn State football,Dexter King,Lipid,Pete Carroll
96,2020-11-08,Super Bowl 2024,Jason Kelce retire,Dallas Cowboys,Alabama vs Michigan,Kansas City Chiefs,Adan Canto,New Year's Day,Adam Harrison,Ohio State football,Powerball,Vince McMahon,Jim Harbaugh,"Perry, Iowa",NFL Games Today,Oscar nominations 2024,Nick Saban retiring,Lipid,Dexter King,Penn State football,NFL playoff picture,Pete Carroll,Ecuador,Super Bowl,Doc Rivers,Rickey Smiley
97,2020-11-15,Kansas City Chiefs,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Jim Harbaugh,Super Bowl 2024,Powerball,Alabama vs Michigan,Ohio State football,Adam Harrison,Vince McMahon,Oscar nominations 2024,Jason Kelce retire,New Year's Day,"Perry, Iowa",Adan Canto,Doc Rivers,Pete Carroll,Rickey Smiley,Super Bowl,Ecuador,Dexter King,NFL playoff picture,Penn State football,Lipid
98,2020-11-22,New Year's Day,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Super Bowl 2024,NFL Games Today,Kansas City Chiefs,Adam Harrison,Oscar nominations 2024,Powerball,Jim Harbaugh,Jason Kelce retire,Ohio State football,Adan Canto,Vince McMahon,Nick Saban retiring,Penn State football,Lipid,Dexter King,Doc Rivers,Rickey Smiley,Super Bowl,Pete Carroll,Ecuador,NFL playoff picture
99,2020-11-29,Adam Harrison,New Year's Day,Vince McMahon,Alabama vs Michigan,Ohio State football,Kansas City Chiefs,Powerball,Nick Saban retiring,Jim Harbaugh,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Super Bowl 2024,Adan Canto,NFL Games Today,"Perry, Iowa",Rickey Smiley,Ecuador,Lipid,Dexter King,Super Bowl,Pete Carroll,Doc Rivers,NFL playoff picture,Penn State football
