week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2021-01-24,Adan Canto,Oscar nominations 2024,Super Bowl 2024,Jim Harbaugh,Vince McMahon,"Perry, Iowa",New Year's Day,Ohio State football,Nick Saban retiring,NFL Games Today,Jason Kelce retire,Powerball,Kansas City Chiefs,Adam Harrison,Dallas Cowboys,Alabama vs Michigan,Pete Carroll,Ecuador,Penn State football,Rickey Smiley,Lipid,NFL playoff picture,Dexter King,Doc Rivers,Super Bowl,3851.679931640625,3870.89990234375,3694.1201171875,3714.239990234375,36751000000,-127.22998046875
2021-01-31,Super Bowl 2024,NFL Games Today,Dallas Cowboys,Adan Canto,Powerball,New Year's Day,"Perry, Iowa",Oscar nominations 2024,Kansas City Chiefs,Adam Harrison,Jim Harbaugh,Nick Saban retiring,Ohio State football,Vince McMahon,Alabama vs Michigan,Jason Kelce retire,Lipid,Dexter King,Penn State football,Super Bowl,Rickey Smiley,Pete Carroll,Doc Rivers,NFL playoff picture,Ecuador,3731.169921875,3894.56005859375,3725.6201171875,3886.830078125,25573900000,172.590087890625
2021-02-07,Dallas Cowboys,"Perry, Iowa",Adan Canto,Super Bowl 2024,New Year's Day,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Vince McMahon,Jim Harbaugh,Ohio State football,Adam Harrison,Powerball,Oscar nominations 2024,Alabama vs Michigan,Nick Saban retiring,Super Bowl,Ecuador,Pete Carroll,Doc Rivers,Rickey Smiley,NFL playoff picture,Lipid,Dexter King,Penn State football,3892.590087890625,3937.22998046875,3884.93994140625,3934.830078125,22779770000,48.0
2021-02-14,Jim Harbaugh,Oscar nominations 2024,Kansas City Chiefs,Adam Harrison,Adan Canto,Powerball,Super Bowl 2024,Vince McMahon,Alabama vs Michigan,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Nick Saban retiring,Ohio State football,NFL Games Today,New Year's Day,Ecuador,Dexter King,Super Bowl,Pete Carroll,NFL playoff picture,Lipid,Doc Rivers,Rickey Smiley,Penn State football,3939.610107421875,3950.429931640625,3885.030029296875,3906.7099609375,19428610000,-28.1201171875
2021-02-21,Dallas Cowboys,Ohio State football,Vince McMahon,Adam Harrison,Super Bowl 2024,Jason Kelce retire,Jim Harbaugh,NFL Games Today,New Year's Day,Powerball,"Perry, Iowa",Nick Saban retiring,Oscar nominations 2024,Kansas City Chiefs,Adan Canto,Alabama vs Michigan,Pete Carroll,NFL playoff picture,Rickey Smiley,Lipid,Ecuador,Penn State football,Dexter King,Super Bowl,Doc Rivers,3885.550048828125,3928.64990234375,3789.5400390625,3811.14990234375,31300040000,-95.56005859375
2021-02-28,Kansas City Chiefs,Powerball,New Year's Day,Vince McMahon,Adan Canto,Nick Saban retiring,Adam Harrison,Oscar nominations 2024,NFL Games Today,Jim Harbaugh,Ohio State football,Dallas Cowboys,Super Bowl 2024,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,Dexter King,Ecuador,NFL playoff picture,Pete Carroll,Rickey Smiley,Doc Rivers,Penn State football,Super Bowl,Lipid,3842.510009765625,3914.5,3723.340087890625,3841.93994140625,30870960000,30.7900390625
2021-03-07,Vince McMahon,Adam Harrison,Dallas Cowboys,Alabama vs Michigan,NFL Games Today,Nick Saban retiring,Adan Canto,"Perry, Iowa",Jason Kelce retire,New Year's Day,Ohio State football,Kansas City Chiefs,Powerball,Super Bowl 2024,Jim Harbaugh,Oscar nominations 2024,Pete Carroll,Lipid,Dexter King,Super Bowl,Ecuador,Doc Rivers,NFL playoff picture,Penn State football,Rickey Smiley,3844.389892578125,3960.27001953125,3819.25,3943.340087890625,27021810000,101.400146484375
2021-03-14,Dallas Cowboys,Vince McMahon,Super Bowl 2024,Adan Canto,NFL Games Today,"Perry, Iowa",Powerball,Oscar nominations 2024,New Year's Day,Alabama vs Michigan,Ohio State football,Kansas City Chiefs,Nick Saban retiring,Adam Harrison,Jim Harbaugh,Jason Kelce retire,Ecuador,Lipid,Rickey Smiley,Doc Rivers,Penn State football,Dexter King,Pete Carroll,Super Bowl,NFL playoff picture,3942.9599609375,3983.8701171875,3886.75,3913.10009765625,26950850000,-30.239990234375
2021-03-21,Super Bowl 2024,NFL Games Today,Vince McMahon,Dallas Cowboys,Adam Harrison,New Year's Day,Ohio State football,Nick Saban retiring,Powerball,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Alabama vs Michigan,Jason Kelce retire,Adan Canto,Oscar nominations 2024,Pete Carroll,Ecuador,Dexter King,Lipid,NFL playoff picture,Doc Rivers,Penn State football,Super Bowl,Rickey Smiley,3916.47998046875,3978.18994140625,3853.5,3974.5400390625,24199790000,61.43994140625
2021-03-28,"Perry, Iowa",Dallas Cowboys,Jason Kelce retire,Nick Saban retiring,Alabama vs Michigan,Jim Harbaugh,Super Bowl 2024,Oscar nominations 2024,New Year's Day,Adam Harrison,Ohio State football,Adan Canto,NFL Games Today,Powerball,Vince McMahon,Kansas City Chiefs,Super Bowl,Rickey Smiley,Doc Rivers,Lipid,Penn State football,Pete Carroll,NFL playoff picture,Dexter King,Ecuador,3969.31005859375,4020.6298828125,3943.25,4019.8701171875,17489870000,45.330078125
2021-04-04,New Year's Day,Adan Canto,Vince McMahon,Alabama vs Michigan,Jason Kelce retire,Ohio State football,NFL Games Today,Nick Saban retiring,Oscar nominations 2024,Adam Harrison,Kansas City Chiefs,Super Bowl 2024,Dallas Cowboys,Powerball,"Perry, Iowa",Jim Harbaugh,NFL playoff picture,Ecuador,Penn State football,Rickey Smiley,Dexter King,Pete Carroll,Lipid,Super Bowl,Doc Rivers,4034.43994140625,4129.47998046875,4034.43994140625,4128.7998046875,19754600000,108.9296875
2021-04-11,Vince McMahon,Oscar nominations 2024,Adan Canto,Jason Kelce retire,Super Bowl 2024,Dallas Cowboys,"Perry, Iowa",Jim Harbaugh,New Year's Day,Nick Saban retiring,Kansas City Chiefs,Alabama vs Michigan,Powerball,NFL Games Today,Adam Harrison,Ohio State football,Penn State football,Doc Rivers,NFL playoff picture,Pete Carroll,Lipid,Rickey Smiley,Ecuador,Super Bowl,Dexter King,4124.7099609375,4191.31005859375,4114.81982421875,4185.47021484375,19506210000,56.67041015625
2021-04-18,Dallas Cowboys,Super Bowl 2024,Oscar nominations 2024,New Year's Day,"Perry, Iowa",Nick Saban retiring,Ohio State football,Alabama vs Michigan,Jason Kelce retire,Kansas City Chiefs,Powerball,Jim Harbaugh,Adam Harrison,NFL Games Today,Adan Canto,Vince McMahon,Super Bowl,Rickey Smiley,Doc Rivers,Lipid,Penn State football,Pete Carroll,NFL playoff picture,Ecuador,Dexter King,4179.7998046875,4194.169921875,4118.3798828125,4180.169921875,19855210000,-5.30029296875
2021-04-25,Jim Harbaugh,Kansas City Chiefs,Vince McMahon,Adam Harrison,Jason Kelce retire,New Year's Day,Super Bowl 2024,Oscar nominations 2024,Nick Saban retiring,Alabama vs Michigan,Adan Canto,"Perry, Iowa",NFL Games Today,Powerball,Dallas Cowboys,Ohio State football,Dexter King,Pete Carroll,Ecuador,Rickey Smiley,NFL playoff picture,Lipid,Super Bowl,Penn State football,Doc Rivers,4185.02978515625,4218.77978515625,4174.85009765625,4181.169921875,19845940000,1.0
2021-05-02,Adam Harrison,Alabama vs Michigan,Powerball,NFL Games Today,Adan Canto,"Perry, Iowa",New Year's Day,Vince McMahon,Jim Harbaugh,Nick Saban retiring,Oscar nominations 2024,Dallas Cowboys,Ohio State football,Jason Kelce retire,Kansas City Chiefs,Super Bowl 2024,Pete Carroll,Lipid,Dexter King,Ecuador,NFL playoff picture,Super Bowl,Penn State football,Doc Rivers,Rickey Smiley,4191.97998046875,4238.0400390625,4128.58984375,4232.60009765625,21280680000,51.43017578125
2021-05-09,Jim Harbaugh,Ohio State football,Kansas City Chiefs,Nick Saban retiring,Oscar nominations 2024,Dallas Cowboys,Adam Harrison,Vince McMahon,Jason Kelce retire,Super Bowl 2024,"Perry, Iowa",New Year's Day,Alabama vs Michigan,NFL Games Today,Adan Canto,Powerball,Lipid,Pete Carroll,Ecuador,Super Bowl,NFL playoff picture,Dexter King,Penn State football,Rickey Smiley,Doc Rivers,4228.2900390625,4236.39013671875,4056.8798828125,4173.85009765625,22952900000,-58.75
2021-05-16,NFL Games Today,Kansas City Chiefs,Nick Saban retiring,Alabama vs Michigan,"Perry, Iowa",Vince McMahon,Ohio State football,Jim Harbaugh,New Year's Day,Jason Kelce retire,Super Bowl 2024,Powerball,Oscar nominations 2024,Adam Harrison,Adan Canto,Dallas Cowboys,Super Bowl,Doc Rivers,Rickey Smiley,Dexter King,NFL playoff picture,Penn State football,Lipid,Ecuador,Pete Carroll,4169.919921875,4188.72021484375,4061.409912109375,4155.85986328125,20744780000,-17.990234375
2021-05-23,New Year's Day,Dallas Cowboys,Jim Harbaugh,Jason Kelce retire,Super Bowl 2024,Vince McMahon,Ohio State football,Adan Canto,NFL Games Today,Adam Harrison,Nick Saban retiring,Alabama vs Michigan,Kansas City Chiefs,Oscar nominations 2024,Powerball,"Perry, Iowa",Lipid,Super Bowl,Penn State football,Doc Rivers,NFL playoff picture,Dexter King,Rickey Smiley,Pete Carroll,Ecuador,4170.16015625,4218.35986328125,4170.16015625,4204.10986328125,23343500000,48.25
2021-05-30,Jason Kelce retire,"Perry, Iowa",Super Bowl 2024,Vince McMahon,Oscar nominations 2024,Kansas City Chiefs,Adan Canto,Alabama vs Michigan,New Year's Day,Ohio State football,Powerball,Nick Saban retiring,NFL Games Today,Adam Harrison,Dallas Cowboys,Jim Harbaugh,Pete Carroll,Rickey Smiley,NFL playoff picture,Penn State football,Super Bowl,Lipid,Dexter King,Ecuador,Doc Rivers,4216.52001953125,4234.1201171875,4167.93017578125,4229.89013671875,20636100000,25.7802734375
2021-06-06,Alabama vs Michigan,Super Bowl 2024,Jason Kelce retire,Vince McMahon,Kansas City Chiefs,Nick Saban retiring,NFL Games Today,Dallas Cowboys,Ohio State football,Adam Harrison,Jim Harbaugh,"Perry, Iowa",Oscar nominations 2024,Adan Canto,New Year's Day,Powerball,Lipid,Ecuador,Rickey Smiley,Dexter King,Doc Rivers,Pete Carroll,NFL playoff picture,Penn State football,Super Bowl,4229.33984375,4249.740234375,4208.41015625,4247.43994140625,22073020000,17.5498046875
2021-06-13,Nick Saban retiring,Jim Harbaugh,NFL Games Today,Jason Kelce retire,Dallas Cowboys,Adam Harrison,Powerball,Vince McMahon,Alabama vs Michigan,Oscar nominations 2024,Ohio State football,"Perry, Iowa",New Year's Day,Adan Canto,Kansas City Chiefs,Super Bowl 2024,Doc Rivers,Rickey Smiley,Super Bowl,Penn State football,Lipid,Ecuador,Dexter King,NFL playoff picture,Pete Carroll,4248.31005859375,4257.16015625,4164.39990234375,4166.4501953125,24868180000,-80.98974609375
2021-06-20,Nick Saban retiring,Powerball,Oscar nominations 2024,"Perry, Iowa",NFL Games Today,Adan Canto,Vince McMahon,Jim Harbaugh,Dallas Cowboys,Alabama vs Michigan,Jason Kelce retire,Ohio State football,Super Bowl 2024,New Year's Day,Adam Harrison,Kansas City Chiefs,Rickey Smiley,Doc Rivers,Super Bowl,Penn State football,Dexter King,Lipid,Ecuador,Pete Carroll,NFL playoff picture,4173.39990234375,4286.1201171875,4173.39990234375,4280.7001953125,22845800000,114.25
2021-06-27,New Year's Day,Kansas City Chiefs,"Perry, Iowa",Jason Kelce retire,Dallas Cowboys,Jim Harbaugh,Vince McMahon,Super Bowl 2024,Adam Harrison,Oscar nominations 2024,NFL Games Today,Ohio State football,Powerball,Alabama vs Michigan,Nick Saban retiring,Adan Canto,Penn State football,Super Bowl,Doc Rivers,Ecuador,Lipid,Rickey Smiley,Dexter King,NFL playoff picture,Pete Carroll,4284.89990234375,4355.43017578125,4274.669921875,4352.33984375,19135150000,71.6396484375
2021-07-04,Super Bowl 2024,Dallas Cowboys,Alabama vs Michigan,Jason Kelce retire,Kansas City Chiefs,Powerball,Adan Canto,Vince McMahon,Jim Harbaugh,Nick Saban retiring,New Year's Day,Oscar nominations 2024,NFL Games Today,"Perry, Iowa",Ohio State football,Adam Harrison,Rickey Smiley,Penn State football,Lipid,Doc Rivers,Pete Carroll,Dexter King,Super Bowl,Ecuador,NFL playoff picture,4356.4599609375,4371.60009765625,4289.3701171875,4369.5498046875,16225570000,17.2099609375
2021-07-11,Alabama vs Michigan,Nick Saban retiring,Ohio State football,Jason Kelce retire,Super Bowl 2024,Vince McMahon,New Year's Day,"Perry, Iowa",Dallas Cowboys,Kansas City Chiefs,Adam Harrison,Jim Harbaugh,Adan Canto,Oscar nominations 2024,NFL Games Today,Powerball,Dexter King,Penn State football,Lipid,Pete Carroll,Rickey Smiley,Doc Rivers,NFL playoff picture,Ecuador,Super Bowl,4372.41015625,4393.68017578125,4322.52978515625,4327.16015625,18977190000,-42.3896484375
2021-07-18,Jim Harbaugh,Oscar nominations 2024,New Year's Day,Vince McMahon,Adan Canto,Adam Harrison,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,NFL Games Today,Kansas City Chiefs,Dallas Cowboys,Ohio State football,Nick Saban retiring,Super Bowl 2024,Powerball,Pete Carroll,NFL playoff picture,Rickey Smiley,Super Bowl,Ecuador,Lipid,Penn State football,Dexter King,Doc Rivers,4296.39990234375,4415.18017578125,4233.1298828125,4411.7900390625,21304580000,84.6298828125
2021-07-25,Adam Harrison,NFL Games Today,Adan Canto,Nick Saban retiring,Alabama vs Michigan,Powerball,Oscar nominations 2024,Jim Harbaugh,Kansas City Chiefs,"Perry, Iowa",Vince McMahon,Dallas Cowboys,Super Bowl 2024,Jason Kelce retire,New Year's Day,Ohio State football,Ecuador,Super Bowl,Rickey Smiley,Penn State football,NFL playoff picture,Dexter King,Lipid,Pete Carroll,Doc Rivers,4409.580078125,4429.97021484375,4372.509765625,4395.259765625,20734210000,-16.5302734375
2021-08-01,New Year's Day,Adan Canto,Kansas City Chiefs,Dallas Cowboys,NFL Games Today,Adam Harrison,Oscar nominations 2024,"Perry, Iowa",Nick Saban retiring,Ohio State football,Alabama vs Michigan,Powerball,Super Bowl 2024,Vince McMahon,Jason Kelce retire,Jim Harbaugh,Super Bowl,Rickey Smiley,Dexter King,Lipid,Penn State football,NFL playoff picture,Doc Rivers,Ecuador,Pete Carroll,4406.85986328125,4440.81982421875,4373.0,4436.52001953125,19171320000,41.26025390625
2021-08-08,Jason Kelce retire,Super Bowl 2024,Nick Saban retiring,NFL Games Today,New Year's Day,Vince McMahon,Kansas City Chiefs,Ohio State football,Adan Canto,Adam Harrison,Jim Harbaugh,Dallas Cowboys,Oscar nominations 2024,"Perry, Iowa",Powerball,Alabama vs Michigan,Penn State football,Dexter King,Doc Rivers,Super Bowl,Lipid,Ecuador,Pete Carroll,Rickey Smiley,NFL playoff picture,4437.77001953125,4468.3701171875,4424.740234375,4468.0,17260230000,31.47998046875
2021-08-15,Nick Saban retiring,Adan Canto,Dallas Cowboys,NFL Games Today,Powerball,Adam Harrison,Vince McMahon,Super Bowl 2024,Ohio State football,"Perry, Iowa",Jim Harbaugh,Jason Kelce retire,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,Oscar nominations 2024,Lipid,Penn State football,Rickey Smiley,Ecuador,Dexter King,NFL playoff picture,Doc Rivers,Pete Carroll,Super Bowl,4461.64990234375,4480.259765625,4367.72998046875,4441.669921875,19014210000,-26.330078125
2021-08-22,Alabama vs Michigan,Super Bowl 2024,Adan Canto,Vince McMahon,"Perry, Iowa",Oscar nominations 2024,Nick Saban retiring,Jason Kelce retire,Kansas City Chiefs,Powerball,Adam Harrison,Ohio State football,NFL Games Today,Jim Harbaugh,Dallas Cowboys,New Year's Day,Super Bowl,Lipid,Dexter King,Rickey Smiley,Doc Rivers,NFL playoff picture,Ecuador,Penn State football,Pete Carroll,4450.2900390625,4513.330078125,4450.2900390625,4509.3701171875,17595630000,67.7001953125
2021-08-29,Vince McMahon,Nick Saban retiring,Ohio State football,Kansas City Chiefs,Powerball,Jason Kelce retire,Super Bowl 2024,New Year's Day,Alabama vs Michigan,NFL Games Today,Adam Harrison,Jim Harbaugh,Oscar nominations 2024,Adan Canto,"Perry, Iowa",Dallas Cowboys,Super Bowl,Rickey Smiley,NFL playoff picture,Lipid,Penn State football,Pete Carroll,Dexter King,Ecuador,Doc Rivers,4513.759765625,4545.85009765625,4513.759765625,4535.43017578125,18470230000,26.06005859375
2021-09-05,Vince McMahon,"Perry, Iowa",Dallas Cowboys,Jason Kelce retire,Adam Harrison,Powerball,Ohio State football,Kansas City Chiefs,Super Bowl 2024,NFL Games Today,Oscar nominations 2024,Adan Canto,New Year's Day,Jim Harbaugh,Alabama vs Michigan,Nick Saban retiring,Rickey Smiley,Ecuador,Doc Rivers,Penn State football,Lipid,NFL playoff picture,Dexter King,Super Bowl,Pete Carroll,4535.3798828125,4535.3798828125,4457.66015625,4458.580078125,14932410000,-76.85009765625
2021-09-12,Super Bowl 2024,Adan Canto,Alabama vs Michigan,Nick Saban retiring,Dallas Cowboys,Oscar nominations 2024,NFL Games Today,New Year's Day,Ohio State football,Adam Harrison,Jason Kelce retire,Vince McMahon,Jim Harbaugh,Powerball,Kansas City Chiefs,"Perry, Iowa",Rickey Smiley,Lipid,Penn State football,Doc Rivers,Ecuador,Pete Carroll,NFL playoff picture,Super Bowl,Dexter King,4474.81005859375,4492.990234375,4427.759765625,4432.990234375,22890790000,-25.58984375
2021-09-19,"Perry, Iowa",Adan Canto,Vince McMahon,Adam Harrison,Powerball,Dallas Cowboys,New Year's Day,Oscar nominations 2024,Nick Saban retiring,Ohio State football,Jason Kelce retire,Alabama vs Michigan,NFL Games Today,Super Bowl 2024,Jim Harbaugh,Kansas City Chiefs,Lipid,Penn State football,Ecuador,Super Bowl,Rickey Smiley,Dexter King,NFL playoff picture,Pete Carroll,Doc Rivers,4402.9501953125,4465.39990234375,4305.91015625,4455.47998046875,20058800000,22.48974609375
2021-09-26,"Perry, Iowa",New Year's Day,Jason Kelce retire,Vince McMahon,Kansas City Chiefs,Oscar nominations 2024,Dallas Cowboys,Powerball,Adan Canto,Ohio State football,Alabama vs Michigan,NFL Games Today,Nick Saban retiring,Super Bowl 2024,Jim Harbaugh,Adam Harrison,Rickey Smiley,Lipid,Pete Carroll,Penn State football,Super Bowl,Doc Rivers,Dexter King,Ecuador,NFL playoff picture,4442.1201171875,4457.2998046875,4288.52001953125,4357.0400390625,20646370000,-98.43994140625
2021-10-03,Super Bowl 2024,New Year's Day,Vince McMahon,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Adan Canto,Adam Harrison,"Perry, Iowa",Ohio State football,Dallas Cowboys,Jason Kelce retire,Oscar nominations 2024,Powerball,Kansas City Chiefs,Nick Saban retiring,Super Bowl,Pete Carroll,Lipid,Penn State football,Dexter King,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,4348.83984375,4429.97021484375,4278.93994140625,4391.33984375,19344290000,34.2998046875
2021-10-10,New Year's Day,Alabama vs Michigan,Super Bowl 2024,Dallas Cowboys,Kansas City Chiefs,Vince McMahon,Ohio State football,Oscar nominations 2024,Nick Saban retiring,Adam Harrison,Adan Canto,Jason Kelce retire,"Perry, Iowa",Jim Harbaugh,NFL Games Today,Powerball,NFL playoff picture,Lipid,Pete Carroll,Ecuador,Doc Rivers,Penn State football,Rickey Smiley,Dexter King,Super Bowl,4385.43994140625,4475.81982421875,4329.919921875,4471.3701171875,17878150000,80.0302734375
2021-10-17,Oscar nominations 2024,Nick Saban retiring,Dallas Cowboys,Powerball,Jim Harbaugh,Adam Harrison,NFL Games Today,Jason Kelce retire,New Year's Day,Vince McMahon,Alabama vs Michigan,Adan Canto,Kansas City Chiefs,Super Bowl 2024,Ohio State football,"Perry, Iowa",Rickey Smiley,Dexter King,Lipid,Ecuador,Super Bowl,Doc Rivers,NFL playoff picture,Penn State football,Pete Carroll,4463.72021484375,4559.669921875,4447.47021484375,4544.89990234375,18372450000,73.52978515625
2021-10-24,New Year's Day,Ohio State football,Nick Saban retiring,Alabama vs Michigan,Jason Kelce retire,Vince McMahon,"Perry, Iowa",Powerball,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Adan Canto,Dallas Cowboys,NFL Games Today,Jim Harbaugh,Oscar nominations 2024,NFL playoff picture,Rickey Smiley,Doc Rivers,Dexter King,Super Bowl,Lipid,Pete Carroll,Penn State football,Ecuador,4553.68994140625,4608.080078125,4537.35986328125,4605.3798828125,20648340000,60.47998046875
2021-10-31,Super Bowl 2024,Nick Saban retiring,Alabama vs Michigan,New Year's Day,Adan Canto,Vince McMahon,Ohio State football,Jason Kelce retire,Dallas Cowboys,Adam Harrison,Jim Harbaugh,NFL Games Today,Oscar nominations 2024,"Perry, Iowa",Powerball,Kansas City Chiefs,Lipid,Dexter King,Super Bowl,Penn State football,Rickey Smiley,Doc Rivers,Pete Carroll,NFL playoff picture,Ecuador,4610.6201171875,4718.5,4595.06005859375,4697.52978515625,21195930000,92.14990234375
2021-11-07,New Year's Day,NFL Games Today,Super Bowl 2024,Oscar nominations 2024,Adam Harrison,Dallas Cowboys,Alabama vs Michigan,Adan Canto,"Perry, Iowa",Jim Harbaugh,Nick Saban retiring,Jason Kelce retire,Vince McMahon,Ohio State football,Kansas City Chiefs,Powerball,Pete Carroll,NFL playoff picture,Super Bowl,Doc Rivers,Rickey Smiley,Penn State football,Dexter King,Lipid,Ecuador,4701.47998046875,4714.919921875,4630.85986328125,4682.85009765625,20545980000,-14.6796875
2021-11-14,Jason Kelce retire,New Year's Day,Adam Harrison,"Perry, Iowa",Ohio State football,Kansas City Chiefs,Powerball,Oscar nominations 2024,Super Bowl 2024,Adan Canto,NFL Games Today,Vince McMahon,Alabama vs Michigan,Nick Saban retiring,Jim Harbaugh,Dallas Cowboys,Rickey Smiley,NFL playoff picture,Doc Rivers,Dexter King,Penn State football,Lipid,Super Bowl,Pete Carroll,Ecuador,4689.2998046875,4717.75,4672.77978515625,4697.9599609375,19909710000,15.10986328125
2021-11-21,Dallas Cowboys,Jim Harbaugh,Super Bowl 2024,Alabama vs Michigan,Oscar nominations 2024,Kansas City Chiefs,Adam Harrison,Jason Kelce retire,"Perry, Iowa",Vince McMahon,NFL Games Today,Nick Saban retiring,Adan Canto,New Year's Day,Ohio State football,Powerball,Super Bowl,Penn State football,Lipid,Ecuador,Doc Rivers,NFL playoff picture,Pete Carroll,Rickey Smiley,Dexter King,4712.0,4743.830078125,4585.43017578125,4594.6201171875,15654820000,-103.33984375
2021-11-28,Nick Saban retiring,NFL Games Today,New Year's Day,Powerball,Adam Harrison,Vince McMahon,Ohio State football,Oscar nominations 2024,Alabama vs Michigan,Super Bowl 2024,Jim Harbaugh,Dallas Cowboys,Jason Kelce retire,Kansas City Chiefs,Adan Canto,"Perry, Iowa",Penn State football,Super Bowl,Ecuador,Pete Carroll,Lipid,Rickey Smiley,Doc Rivers,NFL playoff picture,Dexter King,4628.75,4672.9501953125,4495.1201171875,4538.43017578125,26646380000,-56.18994140625
2021-12-05,Jason Kelce retire,Nick Saban retiring,Adam Harrison,New Year's Day,Jim Harbaugh,Alabama vs Michigan,NFL Games Today,Kansas City Chiefs,Super Bowl 2024,"Perry, Iowa",Vince McMahon,Adan Canto,Oscar nominations 2024,Powerball,Ohio State football,Dallas Cowboys,NFL playoff picture,Pete Carroll,Rickey Smiley,Penn State football,Dexter King,Doc Rivers,Lipid,Super Bowl,Ecuador,4548.3701171875,4713.56982421875,4540.509765625,4712.02001953125,21271750000,173.58984375
2021-12-12,Super Bowl 2024,Alabama vs Michigan,NFL Games Today,Jason Kelce retire,Adam Harrison,"Perry, Iowa",Vince McMahon,Nick Saban retiring,Dallas Cowboys,Oscar nominations 2024,Jim Harbaugh,Powerball,Ohio State football,New Year's Day,Kansas City Chiefs,Adan Canto,Dexter King,Pete Carroll,Super Bowl,Lipid,Rickey Smiley,NFL playoff picture,Penn State football,Ecuador,Doc Rivers,4710.2998046875,4731.990234375,4600.22021484375,4620.64013671875,26609380000,-91.3798828125
2021-12-19,New Year's Day,NFL Games Today,Vince McMahon,Adan Canto,Adam Harrison,Jason Kelce retire,Ohio State football,Alabama vs Michigan,"Perry, Iowa",Dallas Cowboys,Oscar nominations 2024,Jim Harbaugh,Nick Saban retiring,Super Bowl 2024,Kansas City Chiefs,Powerball,Lipid,Pete Carroll,NFL playoff picture,Dexter King,Super Bowl,Penn State football,Doc Rivers,Ecuador,Rickey Smiley,4587.89990234375,4740.740234375,4531.10009765625,4725.7900390625,14940780000,105.14990234375
2021-12-26,Dallas Cowboys,Oscar nominations 2024,Adam Harrison,Adan Canto,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Kansas City Chiefs,Jason Kelce retire,Powerball,Ohio State football,Nick Saban retiring,Super Bowl 2024,New Year's Day,Jim Harbaugh,Ecuador,Rickey Smiley,Doc Rivers,Pete Carroll,Dexter King,Lipid,Super Bowl,Penn State football,NFL playoff picture,4733.990234375,4808.93017578125,4733.990234375,4766.18017578125,14244290000,40.39013671875
2022-01-02,"Perry, Iowa",Ohio State football,Nick Saban retiring,Vince McMahon,Adam Harrison,Adan Canto,New Year's Day,Jim Harbaugh,Super Bowl 2024,Oscar nominations 2024,Dallas Cowboys,Alabama vs Michigan,Jason Kelce retire,NFL Games Today,Kansas City Chiefs,Powerball,NFL playoff picture,Dexter King,Ecuador,Super Bowl,Lipid,Rickey Smiley,Penn State football,Doc Rivers,Pete Carroll,4778.14013671875,4818.6201171875,4662.740234375,4677.02978515625,21878940000,-89.150390625
2022-01-09,Powerball,Oscar nominations 2024,Ohio State football,"Perry, Iowa",Jason Kelce retire,Alabama vs Michigan,Adan Canto,Nick Saban retiring,NFL Games Today,New Year's Day,Kansas City Chiefs,Dallas Cowboys,Super Bowl 2024,Jim Harbaugh,Adam Harrison,Vince McMahon,Penn State football,Lipid,Rickey Smiley,Super Bowl,Ecuador,NFL playoff picture,Dexter King,Doc Rivers,Pete Carroll,4655.33984375,4748.830078125,4582.240234375,4662.85009765625,21251840000,-14.1796875
2022-01-16,Dallas Cowboys,Powerball,Super Bowl 2024,Vince McMahon,Oscar nominations 2024,New Year's Day,Kansas City Chiefs,Adam Harrison,Ohio State football,Jim Harbaugh,Adan Canto,Alabama vs Michigan,"Perry, Iowa",NFL Games Today,Jason Kelce retire,Nick Saban retiring,Rickey Smiley,Ecuador,Super Bowl,Pete Carroll,Dexter King,NFL playoff picture,Penn State football,Doc Rivers,Lipid,4632.240234375,4632.240234375,4395.33984375,4397.93994140625,19444410000,-264.91015625
2022-01-23,Adam Harrison,Super Bowl 2024,Adan Canto,Powerball,New Year's Day,Kansas City Chiefs,Dallas Cowboys,Nick Saban retiring,"Perry, Iowa",Ohio State football,Jason Kelce retire,Alabama vs Michigan,Jim Harbaugh,Oscar nominations 2024,Vince McMahon,NFL Games Today,Doc Rivers,Rickey Smiley,Super Bowl,Penn State football,NFL playoff picture,Pete Carroll,Lipid,Dexter King,Ecuador,4356.31982421875,4453.22998046875,4222.6201171875,4431.85009765625,27889090000,33.91015625
2022-01-30,Vince McMahon,Alabama vs Michigan,Powerball,"Perry, Iowa",Dallas Cowboys,NFL Games Today,Kansas City Chiefs,New Year's Day,Nick Saban retiring,Adam Harrison,Ohio State football,Jason Kelce retire,Jim Harbaugh,Adan Canto,Oscar nominations 2024,Super Bowl 2024,Rickey Smiley,Ecuador,Super Bowl,Doc Rivers,Penn State football,Pete Carroll,NFL playoff picture,Lipid,Dexter King,4431.7900390625,4595.31005859375,4414.02001953125,4500.52978515625,23505280000,68.6796875
