,Open,High,Low,Close,Volume,week,Close_change
135,34968.55859375,35246.7890625,34714.328125,35208.51171875,1191890000,2021-08-01,273.04296875
136,35229.671875,35610.5703125,35041.23828125,35515.37890625,1164080000,2021-08-08,306.8671875
137,35490.828125,35631.19140625,34690.25,35120.078125,1494670000,2021-08-15,-395.30078125
138,35160.96875,35501.140625,35160.96875,35455.80078125,1192430000,2021-08-22,335.72265625
139,35471.80078125,35510.7109375,35269.3984375,35369.08984375,1332890000,2021-08-29,-86.7109375
140,35373.23828125,35373.23828125,34599.609375,34607.71875,1146270000,2021-09-05,-761.37109375
141,34665.5,34990.359375,34510.30078125,34584.87890625,1815720000,2021-09-12,-22.83984375
142,34459.71875,34879.78125,33613.03125,34798.0,1577540000,2021-09-19,213.12109375
143,34739.26953125,35061.12109375,33785.5390625,34326.4609375,1741260000,2021-09-26,-471.5390625
144,34312.9609375,34975.19140625,33821.578125,34746.25,1541920000,2021-10-03,419.7890625
145,34723.7890625,35320.96875,34115.1015625,35294.76171875,1558460000,2021-10-10,548.51171875
146,35221.01953125,35765.01953125,35035.94140625,35677.01953125,1501580000,2021-10-17,382.2578125
147,35692.62109375,35892.921875,35490.4296875,35819.55859375,1680110000,2021-10-24,142.5390625
148,35833.6484375,36484.75,35797.96875,36327.94921875,1512170000,2021-10-31,508.390625
149,36416.4609375,36565.73046875,35915.26953125,36100.30859375,1384310000,2021-11-07,-227.640625
150,36128.828125,36316.609375,35555.37109375,35601.98046875,1791180000,2021-11-14,-498.328125
151,35631.41015625,35929.66015625,34749.80078125,34899.33984375,1418870000,2021-11-21,-702.640625
152,35017.7109375,35287.91015625,34006.98046875,34580.078125,2497290000,2021-11-28,-319.26171875
153,34633.4296875,35982.69140625,34633.4296875,35970.98828125,1993530000,2021-12-05,1390.91015625
154,35958.9296875,36189.828125,35284.26171875,35365.44140625,2530830000,2021-12-12,-605.546875
155,35222.12109375,36060.98828125,34665.5,35950.55859375,1262020000,2021-12-19,585.1171875
156,35954.48046875,36679.44140625,35954.48046875,36338.30078125,1115740000,2021-12-26,387.7421875
157,36321.58984375,36952.6484375,36111.53125,36231.66015625,1987050000,2022-01-02,-106.640625
158,36175.2109375,36513.87890625,35639.91015625,35911.80859375,1830550000,2022-01-09,-319.8515625
159,35661.76171875,35661.76171875,34229.55078125,34265.37109375,1713290000,2022-01-16,-1646.4375
160,34070.609375,34815.671875,33150.328125,34725.46875,2812990000,2022-01-23,460.09765625
161,34691.171875,35679.19921875,34496.1015625,35089.73828125,1944590000,2022-01-30,364.26953125
162,35108.37890625,35824.28125,34620.51953125,34738.05859375,1792190000,2022-02-06,-351.6796875
163,34694.5,35047.7890625,33976.1796875,34079.1796875,1733200000,2022-02-13,-658.87890625
164,33974.08984375,34095.73828125,32272.640625,34058.75,1811170000,2022-02-20,-20.4296875
165,33870.62109375,34179.0703125,33107.671875,33614.80078125,2061240000,2022-02-27,-443.94921875
166,33579.75,33579.75,32578.73046875,32944.19140625,2229780000,2022-03-06,-670.609375
167,33000.37109375,34755.19921875,32818.16015625,34754.9296875,2166040000,2022-03-13,1810.73828125
